lan_interface_id,lan_interface_name,lan_interface_dest_type,lag_min_links,is_native_range,lan_interface_index,network_range_id,network_range_name,subnet,vlan,mdns_reflector,gateway,range_type,translated_subnet,internet_only,local_ip,dhcp_type,dhcp_ip_range,dhcp_relay_group_id,dhcp_relay_group_name,dhcp_microsegmentation
,Example LAG Member 4,LAN_LAG_MEMBER,,,INT_4,,,,,,,,,,,,,,,FALSE
,,,,,INT_5,,Example Routed 162,10.16.2.0/24,,,10.16.0.2,Routed,172.16.1.0/24,,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_5,,Example Routed 163,10.16.3.0/24,,,10.16.0.3,Routed,,TRUE,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_5,,Example Direct 164,10.16.4.0/24,,TRUE,,Direct,172.16.3.0/24,,10.16.4.1,DHCP_RANGE,10.16.4.100-10.16.4.200,,,FALSE
,,,,,INT_5,,Example VLAN 165,10.16.5.0/24,165,,,VLAN,,,10.16.5.1,DHCP_DISABLED,,,,FALSE
,,,,,INT_5,,Example VLAN 166,10.16.6.0/24,166,,,VLAN,172.16.5.0/24,,10.16.6.1,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_5,,Example VLAN 167,10.16.7.0/24,167,,,VLAN,172.16.6.0/24,,10.16.7.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_5,,Example VLAN 168,10.16.8.0/24,168,,,VLAN,,,10.16.8.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_5,,Example VLAN 169,10.16.9.0/24,169,,,VLAN,172.16.8.0/24,,10.16.9.1,DHCP_RANGE,10.16.9.100-10.16.9.200,,,TRUE
 ,LAN 2,LAN,,TRUE,INT_6,,Native Range,10.16.10.0/24,1610,FALSE,,VLAN,,,10.16.10.1,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,,Example Routed 1611,10.16.11.0/24,,,10.16.10.2,Routed,172.16.11.0/24,,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example Routed 1612,10.16.12.0/24,,,10.16.10.3,Routed,,TRUE,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example Direct 1613,10.16.13.0/24,,TRUE,,Direct,172.16.13.0/24,,10.16.13.1,DHCP_RANGE,10.16.13.100-10.16.13.200,,,FALSE
,,,,,INT_6,,Example VLAN 1614,10.16.14.0/24,1614,,,VLAN,,,10.16.14.1,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,,Example VLAN 1615,10.16.15.0/24,1615,,,VLAN,172.16.15.0/24,,10.16.15.1,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example VLAN 1616,10.16.16.0/24,1616,,,VLAN,172.16.16.0/24,,10.16.16.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,,Example VLAN 1617,10.16.17.0/24,1617,,,VLAN,,,10.16.17.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,,Example VLAN 1618,10.16.18.0/24,1618,,,VLAN,172.16.18.0/24,,10.16.18.1,DHCP_RANGE,10.16.18.100-10.16.18.200,,,TRUE
